"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 02- 24","3,925.43","3,873.71","3,928.65","3,859.60","","1.14%"
"2021- 02- 23","3,881.37","3,857.07","3,895.98","3,805.59","","0.13%"
"2021- 02- 22","3,876.50","3,885.55","3,902.92","3,874.71","","-0.77%"
"2021- 02- 19","3,906.71","3,921.16","3,930.41","3,903.07","","-0.19%"
"2021- 02- 18","3,913.97","3,915.86","3,921.98","3,885.03","","-0.44%"
"2021- 02- 17","3,931.33","3,918.50","3,933.61","3,900.43","","-0.03%"
"2021- 02- 16","3,932.59","3,939.61","3,950.43","3,923.85","","-0.06%"
"2021- 02- 12","3,934.83","3,911.65","3,937.23","3,905.78","","0.47%"
"2021- 02- 11","3,916.38","3,916.40","3,925.99","3,890.39","","0.17%"
"2021- 02- 10","3,909.88","3,920.78","3,931.50","3,884.94","","-0.03%"
"2021- 02- 09","3,911.23","3,910.49","3,918.35","3,902.64","","-0.11%"
"2021- 02- 08","3,915.59","3,892.59","3,915.77","3,892.59","","0.74%"
"2021- 02- 05","3,886.83","3,878.30","3,894.56","3,874.93","","0.39%"
"2021- 02- 04","3,871.74","3,836.66","3,872.42","3,836.66","","1.09%"
"2021- 02- 03","3,830.17","3,840.27","3,847.51","3,816.68","","0.10%"
"2021- 02- 02","3,826.31","3,791.84","3,843.09","3,791.84","","1.39%"
"2021- 02- 01","3,773.86","3,731.17","3,784.32","3,725.62","","1.61%"
"2021- 01- 29","3,714.24","3,778.05","3,778.05","3,694.12","","-1.93%"
"2021- 01- 28","3,787.38","3,755.75","3,830.50","3,755.75","","0.98%"
"2021- 01- 27","3,750.77","3,836.83","3,836.83","3,732.48","","-2.57%"
"2021- 01- 26","3,849.62","3,862.96","3,870.90","3,847.78","","-0.15%"
"2021- 01- 25","3,855.36","3,851.68","3,859.23","3,797.16","","0.36%"
"2021- 01- 22","3,841.47","3,844.24","3,852.31","3,830.41","","-0.30%"
"2021- 01- 21","3,853.07","3,857.46","3,861.45","3,845.05","","0.03%"
"2021- 01- 20","3,851.85","3,816.22","3,859.75","3,816.22","","1.39%"
"2021- 01- 19","3,798.91","3,781.88","3,804.53","3,780.37","","0.81%"
"2021- 01- 15","3,768.25","3,788.73","3,788.73","3,749.62","","-0.72%"
"2021- 01- 14","3,795.54","3,814.98","3,823.60","3,792.86","","-0.38%"
"2021- 01- 13","3,809.84","3,802.23","3,820.96","3,791.50","","0.23%"
"2021- 01- 12","3,801.19","3,801.62","3,810.78","3,776.51","","0.04%"
"2021- 01- 11","3,799.61","3,803.14","3,817.86","3,789.02","","-0.66%"
"2021- 01- 08","3,824.68","3,815.05","3,826.69","3,783.60","","0.55%"
"2021- 01- 07","3,803.79","3,764.71","3,811.55","3,764.71","","1.48%"
"2021- 01- 06","3,748.14","3,712.20","3,783.04","3,705.34","","0.57%"
"2021- 01- 05","3,726.86","3,698.02","3,737.83","3,695.07","","0.71%"
"2021- 01- 04","3,700.65","3,764.61","3,769.99","3,662.71","","-1.48%"
